"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 23 03:39:20 UTC 2023","Sat Sep 23 03:39:49 UTC 2023","28175","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sat Sep 23 02:34:00 UTC 2023","Sat Sep 23 02:34:03 UTC 2023","3661","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Sep 23 03:31:42 UTC 2023","Sat Sep 23 03:32:03 UTC 2023","20978","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sat Sep 23 03:20:57 UTC 2023","Sat Sep 23 03:21:09 UTC 2023","12437","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sat Sep 23 02:35:51 UTC 2023","Sat Sep 23 02:36:43 UTC 2023","52197","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Sat Sep 23 04:31:28 UTC 2023","Sat Sep 23 04:31:40 UTC 2023","12478","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sat Sep 23 03:18:05 UTC 2023","Sat Sep 23 03:18:09 UTC 2023","3482","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Sep 23 04:17:42 UTC 2023","Sat Sep 23 04:18:00 UTC 2023","17720","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Sat Sep 23 04:56:47 UTC 2023","Sat Sep 23 04:56:58 UTC 2023","11041","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sat Sep 23 04:26:20 UTC 2023","Sat Sep 23 04:26:39 UTC 2023","19489","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sat Sep 23 03:18:09 UTC 2023","Sat Sep 23 03:18:10 UTC 2023","732","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Sep 23 02:16:45 UTC 2023","Sat Sep 23 02:16:54 UTC 2023","8485","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sat Sep 23 02:36:44 UTC 2023","Sat Sep 23 02:36:46 UTC 2023","2141","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sat Sep 23 02:31:24 UTC 2023","Sat Sep 23 02:31:27 UTC 2023","2789","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
